thermal_source_id,mgrs_tile,last_seen,sentinel_id,sensing_time,scene_date,cloud_cover,date_difference_days,status,file_path,file_size_kb,evidence_available,evidence_quality,satellite_image_path
8333,T43RCP,2026-06-21,S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208,2026-06-23 05:46:39.024,2026-06-23,0.02,2.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208.jpg,35.12,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208.jpg
8334,T43RCP,2026-06-21,S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208,2026-06-23 05:46:39.024,2026-06-23,0.02,2.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208.jpg,35.12,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208.jpg
8335,T43RCP,2026-06-18,S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,7.8,0.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg,34.24,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg
8336,T43RCP,2026-06-28,S2C_MSIL2A_20260628T054641_N0512_R048_T43RCP_20260628T085710,2026-06-28 05:46:41.025,2026-06-28,0.02,0.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260628T054641_N0512_R048_T43RCP_20260628T085710.jpg,32.37,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260628T054641_N0512_R048_T43RCP_20260628T085710.jpg
8337,T43RBP,2026-06-17,S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,3.57,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419.jpg,37.3,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419.jpg
8338,T43RCP,2026-06-23,S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208,2026-06-23 05:46:39.024,2026-06-23,0.02,0.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208.jpg,35.12,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208.jpg
8339,T43RBP,2026-06-17,S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,3.57,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419.jpg,37.3,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419.jpg
8340,T43RDP,2026-06-17,S2B_MSIL2A_20260610T053639_N0512_R005_T43RDP_20260610T091702,2026-06-10 05:36:39.024,2026-06-10,0.0,7.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260610T053639_N0512_R005_T43RDP_20260610T091702.jpg,30.71,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260610T053639_N0512_R005_T43RDP_20260610T091702.jpg
8341,T43RDP,2026-06-17,S2B_MSIL2A_20260610T053639_N0512_R005_T43RDP_20260610T091702,2026-06-10 05:36:39.024,2026-06-10,0.0,7.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260610T053639_N0512_R005_T43RDP_20260610T091702.jpg,30.71,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260610T053639_N0512_R005_T43RDP_20260610T091702.jpg
8342,T43RCQ,2026-06-25,S2C_MSIL2A_20260625T053641_N0512_R005_T43RCQ_20260625T101830,2026-06-25 05:36:41.025,2026-06-25,23.87,0.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260625T053641_N0512_R005_T43RCQ_20260625T101830.jpg,18.93,True,GOOD,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260625T053641_N0512_R005_T43RCQ_20260625T101830.jpg
8343,T43RCQ,2026-06-17,S2C_MSIL2A_20260618T054641_N0512_R048_T43RCQ_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,1.43,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCQ_20260618T085419.jpg,33.27,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCQ_20260618T085419.jpg
8344,T43RFQ,2026-06-28,S2A_MSIL2A_20260627T054251_N0512_R005_T43RFQ_20260627T103225,2026-06-27 05:42:51.024,2026-06-27,2.04,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2A_MSIL2A_20260627T054251_N0512_R005_T43RFQ_20260627T103225.jpg,9.01,True,STRONG,data/raw/sentinel2/quicklooks\S2A_MSIL2A_20260627T054251_N0512_R005_T43RFQ_20260627T103225.jpg
