thermal_source_id,mgrs_tile,last_seen,sentinel_id,sensing_time,scene_date,cloud_cover,date_difference_days,status,file_path,file_size_kb,evidence_available,evidence_quality,satellite_image_path
8295,T43RBP,2026-06-17,S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,3.57,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419.jpg,37.3,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419.jpg
8296,T43RBP,2026-06-17,S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,3.57,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419.jpg,37.3,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419.jpg
8297,T43RCP,2026-06-17,S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,7.8,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg,34.24,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg
8298,T43RCP,2026-06-17,S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,7.8,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg,34.24,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg
8299,T43RBP,2026-06-17,S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,3.57,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419.jpg,37.3,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419.jpg
8300,T43RCP,2026-06-17,S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,7.8,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg,34.24,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg
8301,T43RBP,2026-07-07,S2C_MSIL2A_20260708T054641_N0512_R048_T43RBP_20260708T085213,2026-07-08 05:46:41.025,2026-07-08,10.52,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260708T054641_N0512_R048_T43RBP_20260708T085213.jpg,34.92,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260708T054641_N0512_R048_T43RBP_20260708T085213.jpg
8302,T43RCP,2026-06-21,S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208,2026-06-23 05:46:39.024,2026-06-23,0.02,2.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208.jpg,35.12,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208.jpg
8303,T43RBP,2026-07-08,S2C_MSIL2A_20260708T054641_N0512_R048_T43RBP_20260708T085213,2026-07-08 05:46:41.025,2026-07-08,10.52,0.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260708T054641_N0512_R048_T43RBP_20260708T085213.jpg,34.92,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260708T054641_N0512_R048_T43RBP_20260708T085213.jpg
8304,T43RFP,2026-06-17,S2B_MSIL2A_20260617T052649_N0512_R105_T43RFP_20260617T104156,2026-06-17 05:26:49.024,2026-06-17,0.78,0.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260617T052649_N0512_R105_T43RFP_20260617T104156.jpg,29.6,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260617T052649_N0512_R105_T43RFP_20260617T104156.jpg
