feature
mean_frp
max_frp
std_frp
mean_bright_ti4
max_bright_ti4
night_ratio
total_detections
active_days
observation_span_days
detections_7d
active_days_7d
detections_30d
active_days_30d
persistence_score
previous_23d_activity_rate
activity_change
osm_features_1km
osm_features_5km
osm_features_10km
power_plants_5km
power_generators_5km
industrial_areas_5km
quarries_5km
mines_5km
factories_5km
works_5km
refineries_10km
chemical_10km
steel_10km
industrial_context_score
nearest_osm_distance_km_ml
has_nearby_osm_feature
tree_cover_pct
shrubland_pct
grassland_pct
cropland_pct
built_up_pct
bare_sparse_pct
snow_ice_pct
water_pct
wetland_pct
mangroves_pct
moss_lichen_pct
